Ticker,Quantity,Price,Sector,Purchase_Date
RELIANCE,50,2450.00,Energy,2023-06-15
TCS,30,3200.00,Technology,2023-08-10
HDFCBANK,80,1580.00,Financial Services,2023-07-20
INFY,60,1420.00,Technology,2023-09-05
ICICIBANK,100,950.00,Financial Services,2023-10-12
WIPRO,120,430.00,Technology,2024-01-08
SUNPHARMA,40,1050.00,Healthcare,2024-02-14
BAJFINANCE,15,6800.00,Financial Services,2023-11-20
TATAMOTORS,90,650.00,Automobile,2024-03-01
HCLTECH,50,1250.00,Technology,2023-12-18
AXISBANK,70,1020.00,Financial Services,2024-01-25
MARUTI,10,9800.00,Automobile,2023-07-30
NESTLEIND,8,22000.00,Consumer,2023-09-15
DRREDDY,20,5200.00,Healthcare,2024-02-28
TITAN,25,3100.00,Consumer,2023-11-05
